Date,Product,Sales,Revenue,Expenses,Customers
2025-02-01,Product A,50,5000,1400,45
2025-02-02,Product B,65,6500,1800,60
2025-02-03,Product C,40,4000,1200,38
2025-02-04,Product A,55,5500,1500,50
2025-02-05,Product B,70,7000,1900,65
2025-02-06,Product C,45,4500,1300,42
2025-02-07,Product A,60,6000,1700,55
2025-02-08,Product B,75,7500,2000,70
2025-02-09,Product C,35,3500,1000,32
2025-02-10,Product A,58,5800,1600,53
2025-02-11,Product B,62,6200,1750,58
2025-02-12,Product C,48,4800,1350,44
2025-02-13,Product A,52,5200,1450,49
2025-02-14,Product B,68,6800,1850,62
2025-02-15,Product C,42,4200,1250,40
2025-02-16,Product A,56,5600,1550,51
2025-02-17,Product B,73,7300,2100,68
2025-02-18,Product C,39,3900,1100,36
2025-02-19,Product A,61,6100,1750,54
2025-02-20,Product B,78,7800,2250,72
2025-02-21,Product C,37,3700,1050,34
2025-02-22,Product A,54,5400,1500,47
2025-02-23,Product B,67,6700,1800,60
2025-02-24,Product C,41,4100,1200,39
2025-02-25,Product A,59,5900,1650,52
2025-02-26,Product B,74,7400,2150,69
2025-02-27,Product C,38,3800,1075,35
2025-02-28,Product A,57,5700,1600,50
2025-02-29,Product B,71,7100,1950,66
2025-03-01,Product C,43,4300,1300,41
